3,Venusaur,Grass,Poison,525,80,82,83,100,100,80,1,False
25,Pikachu,Electric,,320,35,55,40,50,50,90,1,False
46,Paras,Bug,Grass,285,35,70,55,45,55,25,1,False
49,Venomoth,Bug,Poison,450,70,65,60,90,75,90,1,False
177,Natu,Psychic,Flying,320,40,50,45,70,45,70,2,False
300,Skitty,Normal,,260,50,45,45,35,35,50,3,False
509,Purrloin,Dark,,281,41,50,37,50,37,66,5,False
237,Hitmontop,Fighting,,455,50,95,95,35,110,70,2,False
25,Pikachu,Electric,,320,35,55,40,50,50,90,1,False
405,Luxray,Electric,,523,80,120,79,95,79,70,4,False
137,Porygon,Normal,,395,65,60,70,85,75,40,1,False
238,Smoochum,Ice,Psychic,305,45,30,15,85,65,65,2,False
